118,9,28,red
132,6,28,red
118,9,28,red
118,2,20,red
130,4,26,red
255,3,19,red
125,11,32,red
114,2,20,red
135,5,29,red
177,136,58,yellow
255,151,63,yellow
177,136,67,yellow
175,130,31,yellow
187,149,44,yellow
255,141,46,yellow
184,142,67,yellow
255,148,32,yellow
197,156,53,yellow
0,95,45,green
0,255,56,green
0,97,52,green
0,95,31,green
0,106,44,green
0,100,40,green
0,255,54,green
0,97,30,green
0,110,46,green
186,79,45,orange
255,87,42,orange
255,82,49,orange
179,71,26,orange
188,84,31,orange
255,79,20,orange
185,83,50,orange
255,79,25,orange
201,89,39,orange
136,160,255,white
156,183,207,white
143,165,192,white
131,158,179,white
145,181,202,white
133,255,255,white
147,255,255,white
135,255,255,white
155,186,207,white
0,35,109,blue
0,40,120,blue
0,38,113,blue
0,29,105,blue
0,38,121,blue
0,31,255,blue
0,255,255,blue
0,30,255,blue
0,39,124,blue
